id,name,WD Lsv,WD Len,WD Dsv,WD Den,WD e-postadress,WD telefonnummer,WD organisationsnummer (Sverige),abbreviation,other_names,description,classification,parent_id,founding_date,dissolution_date,image,url,jurisdiction_code,phone,email,address,contact,tags,source_url
se/amals-kommun,Åmåls kommun,Åmåls kommun,Åmål Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,+46-532-170-00,212000-1587,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.amal.se,SE,0532-17000,kommun@amal.se,Box 62,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/andra-ap-fonden,Andra AP-fonden,Andra AP-fonden,,,,,,,,,,,,,,,www.ap2.se,SE,031-7042999,info@ap2.se,BOX 11155,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/aneby-kommun,Aneby kommun,Aneby kommun,Aneby Municipality,"kommun i Jönköpings län, Sverige","municipality in Jönköping County, Sweden",,,212000-0498,,,Pendlingskommuner,5.0,,,,,http://www.aneby.se,SE,0380-46100,aneby.kommun@aneby.se,Box 53,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/ange-kommun,Ånge kommun,Ånge kommun,Ånge Municipality,"kommun i Västernorrlands län, Sverige","municipality in Västernorrland County, Sweden",,,212000-2387,,,Glesbygdkommuner,8.0,,,,,http://www.ange.se,SE,0690 - 25 01 00,ange@ange.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/angelholms-kommun,Ängelholms kommun,Ängelholms kommun,Ängelholm Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-0977,,,Pendlingskommuner,5.0,,,,,http://www.engelholm.se,SE,0431-870 00,info@engelholm.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/angermanlands-tingsratt,Ångermanlands tingsrätt,Ångermanlands tingsrätt,Ångermanland District Court,Tingsrätt i Västernorrlands län,,,,,,,,,,,,,www.angermanlandstingsratt.domstol.se,SE,,angermanlands.tingsratt@dom.se,BOX 114,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/arbetsdomstolen,Arbetsdomstolen,Arbetsdomstolen,Labour Court,en specialdomstol i Sverige för arbetsrättsliga mål,Swedish special court,,,,,,,,,,,,www.arbetsdomstolen.se,SE,08-6176615,kansliet@arbetsdomstolen.se,BOX 2018,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/arbetsformedlingen,Arbetsförmedlingen,Arbetsförmedlingen,Swedish Public Employment Service,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@arbetsformedlingen.se,+46-77-160-00-00,202100-2114,,,,,,,,,www.arbetsformedlingen.se,SE,08-50880199,,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/arbetsgivarverket,Arbetsgivarverket,Arbetsgivarverket,Swedish Agency for Government Employers,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registrator@arbetsgivarverket.se,+46-8-700-13-00,202100-3476,,,,,,,,,www.arbetsgivarverket.se,SE,010-1505551,registrator@arbetsgivarverket.se,BOX 3267,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/arbetsmiljoverket-(av),Arbetsmiljöverket,Arbetsmiljöverket,Swedish Work Environment Authority,statlig myndighet i Sverige,Swedish administrative authority,mailto:arbetsmiljoverket@av.se,+46-10-730-90-00,202100-2148,,,,,,,,,www.av.se,SE,08-7301967,arbetsmiljoverket@av.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/arboga-kommun,Arboga kommun,Arboga kommun,Arboga Municipality,"kommun i Västmanlands län, Sverige","municipality in Västmanland County, Sweden",mailto:arboga.kommun@arboga.se,+46-589-870-00,212000-2122,,,Varuproducerande kommuner,7.0,,,,,http://www.arboga.se,SE,0589-87000,arboga.kommun@arboga.se,Box 45,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/are-kommun,Åre kommun,Åre kommun,Åre Municipality,"kommun i Jämtlands län, Sverige","municipality in Jämtland County, Sweden",,,212000-2494,,,Turism- och besöksnäringskommuner,6.0,,,,,http://www.are.se,SE,0647-161 00,kundtjanst@are.se,Box 201,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/arjangs-kommun,Årjängs kommun,Årjängs kommun,Årjäng Municipality,"kommun i Värmlands län, Sverige","municipality in Värmland County, Sweden",,,212000-1835,,,Glesbygdkommuner,8.0,,,,,http://www.arjang.se,SE,0573-14100,kommun@arjang.se,Box 906,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/arjeplogs-kommun,Arjeplogs kommun,Arjeplogs kommun,Arjeplog Municipality,"kommun i Norrbottens län, Sverige","municipality in Norrbotten County, Sweden",mailto:kommun@arjeplog.se,+46-961-140-00,212000-2668,,,Turism- och besöksnäringskommuner,6.0,,,,,http://www.arjeplog.se,SE,0961-140 00,arjeplogs.kommun@arjeplog.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/arvfondsdelegationen,Arvfondsdelegationen,Arvfondsdelegationen,,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:info@arvsfonden.se,+46-8-700-08-00,202100-5950,,,,,,,,,www.arvsfonden.se,SE,,,BOX 2218,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/arvidsjaurs-kommun,Arvidsjaurs kommun,Arvidsjaurs kommun,Arvidsjaur Municipality,"kommun i Norrbottens län, Sverige","municipality in Norrbotten County, Sweden",,,212000-2650,,,Kommuner i glesbefolkad region,10.0,,,,,http://www.arvidsjaur.se,SE,0960-15500,kommun@arvidsjaur.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/arvika-kommun,Arvika kommun,Arvika kommun,Arvika Municipality,"kommun i Värmlands län, Sverige","municipality in Värmland County, Sweden",,,212000-1892,,,Varuproducerande kommuner,7.0,,,,,http://www.arvika.se,SE,0570-816 00,arvika.kommun@arvika.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/asele-kommun,Åsele kommun,Åsele kommun,Åsele Municipality,"kommun i Västerbottens län, Sverige","municipality in Västerbotten County, Sweden",,,212000-2791,,,Glesbygdkommuner,8.0,,,,,http://www.asele.se,SE,0941-14000,kommun@asele.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/askersunds-kommun,Askersunds kommun,Askersunds kommun,Askersund Municipality,"kommun i Örebro län, Sverige","municipality in Örebro County, Sweden",,,212000-1983,,,Varuproducerande kommuner,7.0,,,,,http://www.askersund.se,SE,0583-81000,kommun@askersund.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/astorps-kommun,Åstorps kommun,Åstorps kommun,Åstorp Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-0936,,,Förortskommuner till större städer,4.0,,,,,http://www.astorp.se,SE,042-64000,kommun@astorp.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/attunda-tingsratt,Attunda tingsrätt,Attunda tingsrätt,Attunda District Court,,,,,,,,,,,,,,www.attundatingsratt.domstol.se,SE,,attunda.tingsratt@dom.se,BOX 940,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/atvidabergs-kommun,Åtvidabergs kommun,Åtvidabergs kommun,Åtvidaberg Municipality,"kommun i Östergötlands län, Sverige","municipality in Östergötland County, Sweden",,,212000-0415,,,Pendlingskommuner,5.0,,,,,http://www.atvidaberg.se,SE,0120-83000,kommun@atvidaberg.se,Box 206,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/avesta-kommun,Avesta kommun,Avesta kommun,Avesta Municipality,"kommun i Dalarnas län, Sverige","municipality in Dalarna County, Sweden",mailto:servicecenter@avesta.se,+46-226-64-50-00,212000-2262,,,Varuproducerande kommuner,7.0,,,,,http://www.avesta.se,SE,0226-645000,kommun@avesta.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/barnombudsmannen,Barnombudsmannen,Barnombudsmannen,Ombudsman for Children in Sweden,svensk myndighet med uppdrag att företräda barns och ungas rättigheter,Swedish government agency advocating and overseeing children's rights,mailto:info@barnombudsmannen.se,+46-8-692-29-50,202100-3690,,,,,,,,,www.bo.se,SE,08-6546277,bo@bo.se,BOX 22106,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/bastads-kommun,Båstads kommun,Båstads kommun,Båstad Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-0944,,,Turism- och besöksnäringskommuner,6.0,,,,,http://www.bastad.se,SE,0431-77000,bastads.kommun@bastad.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/bengtsfors-kommun,Bengtsfors kommun,Bengtsfors kommun,Bengtsfors Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",mailto:kommun@bengtsfors.se,,212000-1470,,,Varuproducerande kommuner,7.0,,,,,http://www.bengtsfors.se,SE,0531-526000,kommun@bengtsfors.se,Box 14,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/bergs-kommun,Bergs kommun,Bergs kommun,Berg Municipality,"kommun i Jämtlands län, Sverige","municipality in Jämtland County, Sweden",mailto:bergs.kommun@berg.se,+46-687-161-00,212000-2502,,,Turism- och besöksnäringskommuner,6.0,,,,,http://www.berg.se,SE,0687-16100,bergs.kommun@berg.se,Box 73,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/bjurholms-kommun,Bjurholms kommun,Bjurholms kommun,Bjurholm Municipality,"kommun i Västerbottens län, Sverige","municipality in Västerbotten County, Sweden",mailto:kommunen@bjurholm.se,+46-932-140-00,212000-2833,,,Pendlingskommuner,5.0,,,,,http://www.bjurholm.se,SE,0932-14000,kommunen@bjurholm.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
,,,,,,mailto:kommunen@bjurholm.se,,,,,,,,,,,,,,,,,,
se/bjuvs-kommun,Bjuvs kommun,Bjuvs kommun,Bjuv Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",mailto:info@bjuv.se,+46-42-458-50-00,212000-1041,,,Förortskommuner till större städer,4.0,,,,,http://www.bjuv.se,SE,042-4585000,info@bjuv.se,Box 501,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/blekinge-tekniska-hogskola,Blekinge tekniska högskola,Blekinge tekniska högskola,Blekinge Institute of Technology,svensk statlig förvaltningsmyndighet,higher education institution,mailto:info@bth.se,+46-455-38-50-00,202100-4011,,,,,,,,,www.bth.se,SE,0455-385057,registrator@bth.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/blekinge-tingsratt,Blekinge tingsrätt,Blekinge tingsrätt,Blekinge District Court,,,,,,,,,,,,,,www.blekingetingsratt.domstol.se,SE,0455-26858,blekinge.tingsratt@dom.se,BOX 319,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/bodens-kommun,Bodens kommun,Bodens kommun,Boden Municipality,"kommun i Norrbottens län, Sverige","municipality in Norrbotten County, Sweden",,,212000-2767,,,Kommuner i glesbefolkad region,10.0,,,,,http://www.boden.se,SE,0921-62000,kommunen@boden.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/bokforingsnamnden,Bokföringsnämnden,Bokföringsnämnden,,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:bfn@bfn.se,+46-8-408-989-90,202100-3278,,,,,,,,,www.bfn.se,SE,08-219788,bfn@bfn.se,BOX 7849,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/bolagsverket,Bolagsverket,Bolagsverket,Swedish Companies Registration Office,svensk statlig förvaltningsmyndighet,registration authority,mailto:bolagsverket@bolagsverket.se,+46-77-167-06-70,202100-5489,,,,,,,,,www.bolagsverket.se,SE,060-129840,bolagsverket@bolagsverket.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/bollebygds-kommun,Bollebygds kommun,Bollebygds kommun,Bollebygd Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",mailto:kommunen@bollebygd.se,,212000-2973,,,Förortskommuner till storstäderna,2.0,,,,,http://www.bollebygd.se,SE,033-23 13 00,kommunen@bollebygd.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/bollnas-kommun,Bollnäs kommun,Bollnäs kommun,Bollnäs Municipality,"kommun i Gävleborgs län, Sverige","municipality in Gävleborg County, Sweden",,,212000-2361,,,Kommuner i glesbefolkad region,10.0,,,,,http://www.bollnas.se,SE,0278-25000,bollnas@bollnas.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/boras-stad,Borås,Borås,Borås,"tätort i Borås kommun, Sverige","urban area in Borås Municipality, Sweden",,,,,,Större städer,3.0,,,,,http://www.boras.se,SE,033-357000,boras.stad@boras.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/boras-tingsratt,Borås tingsrätt,Borås tingsrätt,Borås tingsrätt,,,,,,,,,,,,,,www.borastingsratt.domstol.se,SE,,boras.tingsratt@dom.se,BOX 270,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/borgholms-kommun,Borgholms kommun,Borgholms kommun,Borgholm Municipality,"kommun i Kalmar län, Sverige","municipality in Kalmar County, Sweden",,,212000-0795,,,Turism- och besöksnäringskommuner,6.0,,,,,http://www.borgholm.se,SE,0485-88000,kommun@borgholm.se,Box 52,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/borlange-kommun,Borlänge kommun,Borlänge kommun,Borlänge Municipality,"kommun i Dalarnas län, Sverige","municipality in Dalarna County, Sweden",,,212000-2239,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.borlange.se,SE,0243-74000,kommun@borlange.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/botkyrka-kommun,Botkyrka kommun,Botkyrka kommun,Botkyrka Municipality,"kommun i Stockholms län, Sverige","municipality in Stockholm County, Sweden",,,212000-2882,,,Förortskommuner till storstäderna,2.0,1.0,,,,http://www.botkyrka.se,SE,08-530 610 00,kontaktcenter@botkyrka.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/boverket,Boverket,Boverket,"National Board of Housing, Building and Planning",svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registraturen@boverket.se,+46-455-35-30-00,202100-3989,,,,,,,,,www.boverket.se,SE,0455-353100,registraturen@boverket.se,BOX 534,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/boxholms-kommun,Boxholms kommun,Boxholms kommun,Boxholm Municipality,"kommun i Östergötlands län, Sverige","municipality in Östergötland County, Sweden",,,212000-0407,,,Pendlingskommuner,5.0,,,,,http://www.boxholm.se,SE,0142-89500,kommun@boxholm.se,Box 79,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/bracke-kommun,Bräcke kommun,Bräcke kommun,Bräcke Municipality,"kommun i Jämtlands län, Sverige","municipality in Jämtland County, Sweden",,,212000-2460,,,Glesbygdkommuner,8.0,,,,,http://www.bracke.se,SE,0693-16100,bracke@bracke.se,Box 190,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/bromolla-kommun,Bromölla kommun,Bromölla kommun,Bromölla Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-0894,,,Pendlingskommuner,5.0,,,,,http://www.bromolla.se,SE,0456-822000,kommunstyrelsen@bromolla.se,Box 18,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/brottsforebyggande-radet,Brottsförebyggande rådet,Brottsförebyggande rådet,Swedish National Council for Crime Prevention,svensk statlig myndighet,Swedish administrative authority,mailto:info@bra.se,+46-8-527-584-00,202100-0068,,,,,,,,,www.bra.se,SE,,info@bra.se,BOX 1386,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/brottsoffermyndigheten,Brottsoffermyndigheten,Brottsoffermyndigheten,Crime Victim Compensation and Support Authority,svensk statlig förvaltningsmyndighet som främjar brottsoffers rättigheter,Swedish administrative authority,mailto:registrator@brottsoffermyndigheten.se,+46-90-70-82-00,202100-3435,,,,,,,,,www.brottsoffermyndigheten.se,SE,090-178353,registrator@brottsoffermyndigheten.se,BOX 470,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/burlovs-kommun,Burlövs kommun,Burlövs kommun,Burlöv Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-1025,,,Förortskommuner till storstäderna,2.0,,,,,http://www.burlov.se,SE,040-439000,burlovs.kommun@burlov.se,Box 53,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/centrala-etikprovningsnamnden,Förordning (2003:617) med instruktion för Centrala  etikprövningsnämnden,Förordning (2003:617) med instruktion för Centrala  etikprövningsnämnden,,förordning från 2003,Swedish delegated legislation from 2003,,,,,,,,,,,,www.epn.se,SE,,kansli@cepn.se,BOX 1035,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/centrala-studiestodsnamnden,Centrala studiestödsnämnden,Centrala studiestödsnämnden,Swedish Board for Study Support,svensk statlig förvaltningsmyndighet,Swedish government authority,mailto:registrator@csn.se,+46-60-18-60-00,202100-1819,,,,,,,,,www.csn.se,SE,060-186193,registrator@csn.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/dals-eds-kommun,Dals-Eds kommun,Dals-Eds kommun,Dals-Ed Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,212000-1413,,,Glesbygdkommuner,8.0,,,,,http://www.dalsed.se,SE,0534-19000,kommunstyrelsen@dalsed.se,Box 31,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/danderyds-kommun,Danderyds kommun,Danderyds kommun,Danderyd Municipality,"kommun i Stockholms län, Sverige","municipality in Stockholm County, Sweden",,,212000-0126,,,Förortskommuner till storstäderna,2.0,1.0,,,,http://www.danderyd.se,SE,08-568 910 00,kommunen@danderyd.se,Box 66,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/datainspektionen,Integritetsskyddsmyndigheten,Integritetsskyddsmyndigheten,Swedish Authority for Privacy Protection,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:datainspektionen@datainspektionen.se,+46-8-6576100,202100-0050,,,,,,,,,www.datainspektionen.se,SE,08-6528652,datainspektionen@datainspektionen.se,BOX 8114,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
,,,,,,mailto:imy@imy.se,,,,,,,,,,,,,,,,,,
se/degerfors-kommun,Degerfors kommun,Degerfors kommun,Degerfors Municipality,"kommun i Örebro län, Sverige","municipality in Örebro County, Sweden",,,212000-1934,,,Pendlingskommuner,5.0,,,,,http://www.degerfors.se,SE,0586-48100,kommun@degerfors.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/diskrimineringsombudsmannen,Diskrimineringsombudsmannen,Diskrimineringsombudsmannen,Discrimination Ombudsman,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:do@do.se,+46-8-120-207-00,202100-6073,,,,,,,,,www.do.se,SE,,do@do.se,BOX 3686,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/domarnamnden,Domarnämnden,Domarnämnden,Judges Proposals Board,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:domarnamnden@dom.se,+46-8-561-669-50,202100-6081,,,,,,,,,www.domstol.se/Om-Sveriges-Domstolar/Domarnamnden,SE,08-243405,domarnamnden@dom.se,BOX 2330,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/domstolsverket,Domstolsverket,Domstolsverket,Swedish National Courts Administration,svensk statlig förvaltningsmyndighet,Swedish administrative authority,,+46 36-155300,,,,,,,,,,www.domstol.se,SE,036-165721,domstolsverket@dom.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/dorotea-kommun,Dorotea kommun,Dorotea kommun,Dorotea Municipality,"kommun i Västerbottens län, Sverige","municipality in Västerbotten County, Sweden",,,212000-2809,,,Turism- och besöksnäringskommuner,6.0,,,,,http://www.dorotea.se,SE,0942-14000,info@dorotea.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/e-halsomyndigheten,E-hälsomyndigheten,E-hälsomyndigheten,Swedish eHealth Agency,statlig myndighet,government agency,mailto:registrator@ehalsomyndigheten.se,+46-10-458-62-00,202100-6552,,,,,,,,,http://www.ehalsomyndigheten.se/,SE,08-6479001,registrator@ehalsomyndigheten.se,SANKT ERIKSGATAN 117,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/e-legitimationsnamnden,E-legitimationsnämnden,E-legitimationsnämnden,,,,,,,,,,,,,,,www.elegnamnden.se,SE,,kansliet@elegnamnden.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/eda-kommun,Eda kommun,Eda kommun,Eda Municipality,"kommun i Värmlands län, Sverige","municipality in Värmland County, Sweden",,,212000-1769,,,Kommuner i glesbefolkad region,10.0,,,,,http://www.eda.se,SE,0571-281 00,kommun@eda.se,Box 66,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/ekero-kommun,Ekerö kommun,Ekerö kommun,Ekerö Municipality,"kommun i Stockholms län, Sverige","municipality in Stockholm County, Sweden",,,212000-0050,,,Förortskommuner till storstäderna,2.0,1.0,,,,http://www.ekero.se,SE,08-124 571 00,kommunstyrelsen@ekero.se,Box 205,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/ekobrottsmyndigheten,Ekobrottsmyndigheten,Ekobrottsmyndigheten,Swedish Economic Crime Authority,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:huvudregistrator@ekobrottsmyndigheten.se,+46-10-562-90-00,202100-4979,,,,,,,,,www.ekobrottsmyndigheten.se,SE,08-6134019,huvudregistrator@ekobrottsmyndigheten.se,BOX 22098,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/ekonomistyrningsverket,Ekonomistyrningsverket,Ekonomistyrningsverket,National Financial Management Authority,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registrator@esv.se,+46-8-690-43-00,202100-5026,,,,,,,,,www.esv.se,SE,08-6904350,registrator@esv.se,BOX 45316,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/eksjo-kommun,Eksjö kommun,Eksjö kommun,Eksjö Municipality,"kommun i Jönköpings län, Sverige","municipality in Jönköping County, Sweden",,,212000-0589,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.eksjo.se,SE,0381-36000,kommun@eksjo.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
